"_id","intrimStatus.startTime","applicantComponentResponse.multiBureauJsonRespose.finishedList.responseJsonObject.accountList.dateOpenedOrDisbursed","applicantComponentResponse.multiBureauJsonRespose.finishedList.responseJsonObject.accountList.dateClosed","applicantComponentResponse.multiBureauJsonRespose.finishedList.responseJsonObject.accountList.accountType"
"90223000009","{""$date"":""2020-07-28T07:09:26.973Z""}",,,
"37968003562","{""$date"":""2020-07-28T07:09:26.286Z""}",,,
"76331000388","{""$date"":""2020-07-28T07:09:23.342Z""}",,,
"60133000341","{""$date"":""2020-07-28T07:09:23.321Z""}",,,
"3110CD0078312","{""$date"":""2020-07-28T07:09:22.410Z""}",,,
"59802001090","{""$date"":""2020-07-28T07:09:21.787Z""}",,,
"87375000108","{""$date"":""2020-07-28T07:09:19.822Z""}",,,
"87375000108","{""$date"":""2020-07-28T07:09:19.822Z""}",,,
"33090002908","{""$date"":""2020-07-28T07:09:15.183Z""}","28112014","11012016","00"
"33090002908","{""$date"":""2020-07-28T07:09:15.183Z""}","20112013","28112014","00"
"33090002908","{""$date"":""2020-07-28T07:09:15.183Z""}",,,
"47982003991","{""$date"":""2020-07-28T07:09:14.487Z""}","13102019",,"06"
"47982003991","{""$date"":""2020-07-28T07:09:14.487Z""}","23012019","28092019","06"
"47982003991","{""$date"":""2020-07-28T07:09:14.487Z""}",,,
"28749004565","{""$date"":""2020-07-28T07:09:14.358Z""}","03122019",,"05"
"28749004565","{""$date"":""2020-07-28T07:09:14.358Z""}","27112019",,"52"
"28749004565","{""$date"":""2020-07-28T07:09:14.358Z""}","27112018","27112019","07"
"28749004565","{""$date"":""2020-07-28T07:09:14.358Z""}",,,
"843731420000193","{""$date"":""2020-07-28T07:09:13.956Z""}",,,
"843731420000193","{""$date"":""2020-07-28T07:09:13.956Z""}",,,
"3029CD0273213","{""$date"":""2020-07-28T07:09:13.431Z""}",,,
"57029000821","{""$date"":""2020-07-28T07:09:10.633Z""}",,,
"63346000266","{""$date"":""2020-07-28T07:09:10.197Z""}",,,
"3054CD0291466","{""$date"":""2020-07-28T07:09:09.451Z""}",,,
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","02112019",,"05"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","21032020",,"05"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","07122019",,"05"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","02102019","02112019","05"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","02092019","03102019","05"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","17082019","31082019","05"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","02082019","31082019","05"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","24072019","02082019","05"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","02072019","02082019","05"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","02062019","02072019","05"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","21012019",,"10"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","12102018","06092019","06"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","24032018",,"10"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","12092017",,"05"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","12112016","14062017","06"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}","29082014","07092016","13"
"64093000505","{""$date"":""2020-07-28T07:09:07.958Z""}",,,
"735491420000022","{""$date"":""2020-07-28T07:09:07.094Z""}",,,
"735491420000022","{""$date"":""2020-07-28T07:09:07.094Z""}",,,
"71644002112","{""$date"":""2020-07-28T07:09:03.872Z""}",,,
"87511000102","{""$date"":""2020-07-28T07:09:01.356Z""}",,,
"87511000102","{""$date"":""2020-07-28T07:09:01.356Z""}",,,
"37847005249","{""$date"":""2020-07-28T07:09:01.185Z""}",,,
"27876003952","{""$date"":""2020-07-28T07:09:00.276Z""}",,,
"27876003952","{""$date"":""2020-07-28T07:09:00.276Z""}",,,
"63793000586","{""$date"":""2020-07-28T07:08:58.929Z""}",,,
"3009CD0173042","{""$date"":""2020-07-28T07:08:58.608Z""}",,,
"67209000150","{""$date"":""2020-07-28T07:08:58.528Z""}",,,
"82884000083","{""$date"":""2020-07-28T07:08:57.324Z""}",,,
"26539000493","{""$date"":""2020-07-28T07:08:55.991Z""}",,,
"58881000783","{""$date"":""2020-07-28T07:08:55.369Z""}",,,
"3061CD0134439","{""$date"":""2020-07-28T07:08:54.297Z""}",,,
"64992001062","{""$date"":""2020-07-28T07:08:53.540Z""}","09052019",,"06"
"64992001062","{""$date"":""2020-07-28T07:08:53.540Z""}","16112018","30112018","05"
"64992001062","{""$date"":""2020-07-28T07:08:53.540Z""}","14112018","16112018","05"
"64992001062","{""$date"":""2020-07-28T07:08:53.540Z""}","10102018","13112018","05"
"64992001062","{""$date"":""2020-07-28T07:08:53.540Z""}",,,
"84850000321","{""$date"":""2020-07-28T07:08:53.186Z""}",,,
"50396000247","{""$date"":""2020-07-28T07:08:51.952Z""}",,,
"81554000135","{""$date"":""2020-07-28T07:08:47.512Z""}",,,
"3020CD0125036","{""$date"":""2020-07-28T07:08:47.443Z""}",,,
"3020CD0125037","{""$date"":""2020-07-28T07:08:46.397Z""}","29082017","29112018","06"
"3020CD0125037","{""$date"":""2020-07-28T07:08:46.397Z""}","14012020",,"06"
"26026011937","{""$date"":""2020-07-28T07:08:43.047Z""}",,,
"3025CD0170520","{""$date"":""2020-07-28T07:08:42.577Z""}",,,
"90777000079","{""$date"":""2020-07-28T07:08:42.407Z""}",,,
"83557000149","{""$date"":""2020-07-28T07:08:42.369Z""}",,,
"34450001694","{""$date"":""2020-07-28T07:08:42.159Z""}",,,
"29339000222","{""$date"":""2020-07-28T07:08:40.543Z""}",,,
"3054CD0291436","{""$date"":""2020-07-28T07:08:40.328Z""}",,,
"3054CD0291459","{""$date"":""2020-07-28T07:08:39.912Z""}",,,
"48778000640","{""$date"":""2020-07-28T07:08:39.780Z""}",,,
"46579003204","{""$date"":""2020-07-28T07:08:39.100Z""}","07082019",,"06"
"46579003204","{""$date"":""2020-07-28T07:08:39.100Z""}","10032020",,"05"
"46579003204","{""$date"":""2020-07-28T07:08:39.100Z""}","14032019",,"13"
"46579003204","{""$date"":""2020-07-28T07:08:39.100Z""}","22102018","10072019","06"
"46579003204","{""$date"":""2020-07-28T07:08:39.100Z""}",,,
"822921420000046","{""$date"":""2020-07-28T07:08:35.544Z""}",,,
"822921420000046","{""$date"":""2020-07-28T07:08:35.544Z""}",,,
"86311000018","{""$date"":""2020-07-28T07:08:34.146Z""}",,,
"3078CD0357073","{""$date"":""2020-07-28T07:08:31.755Z""}",,,
"3004CD0129003","{""$date"":""2020-07-28T07:08:30.570Z""}",,,
"64441000103","{""$date"":""2020-07-28T07:08:28.651Z""}",,,
"68461000630","{""$date"":""2020-07-28T07:08:27.639Z""}",,,
"78796000251","{""$date"":""2020-07-28T07:08:26.760Z""}",,,
"43265001013","{""$date"":""2020-07-28T07:08:26.567Z""}","08052019","11012020","06"
"43265001013","{""$date"":""2020-07-28T07:08:26.567Z""}",,,
"35247000598","{""$date"":""2020-07-28T07:08:26.502Z""}",,,
"86997000036","{""$date"":""2020-07-28T07:08:25.797Z""}",,,
"40466000262","{""$date"":""2020-07-28T07:08:25.436Z""}","21062012","24072014","13"
"40466000262","{""$date"":""2020-07-28T07:08:25.436Z""}",,,
"53328000289","{""$date"":""2020-07-28T07:08:23.498Z""}",,,
"66626000153","{""$date"":""2020-07-28T07:08:23.274Z""}",,,
"26557009788","{""$date"":""2020-07-28T07:08:22.759Z""}",,,
"52923000428","{""$date"":""2020-07-28T07:08:22.734Z""}",,,
"3028CD0066014","{""$date"":""2020-07-28T07:08:22.381Z""}",,,
"3004CD0129029","{""$date"":""2020-07-28T07:08:21.237Z""}",,,
"87533000054","{""$date"":""2020-07-28T07:08:19.519Z""}","25042019",,"13"
"87533000054","{""$date"":""2020-07-28T07:08:19.519Z""}","21012020",,"01"
"87533000054","{""$date"":""2020-07-28T07:08:19.519Z""}","26042019",,"13"
"87533000054","{""$date"":""2020-07-28T07:08:19.519Z""}","08022016","22122016","13"
"87533000054","{""$date"":""2020-07-28T07:08:19.519Z""}",,,
"3042CD0081950","{""$date"":""2020-07-28T07:08:18.613Z""}",,,
"3019CD0091238","{""$date"":""2020-07-28T07:08:18.483Z""}",,,
"58946000463","{""$date"":""2020-07-28T07:08:17.356Z""}",,,
"55513000918","{""$date"":""2020-07-28T07:08:16.205Z""}",,,
"78704000531","{""$date"":""2020-07-28T07:08:14.489Z""}",,,
"77320000123","{""$date"":""2020-07-28T07:08:14.169Z""}",,,
"73094000476","{""$date"":""2020-07-28T07:08:13.702Z""}",,,
"59811001603","{""$date"":""2020-07-28T07:08:12.121Z""}",,,
"59811001603","{""$date"":""2020-07-28T07:08:12.121Z""}",,,
"3004CD0129033","{""$date"":""2020-07-28T07:08:10.814Z""}","21032019","09122019","06"
"3004CD0129033","{""$date"":""2020-07-28T07:08:10.814Z""}","28022019",,"06"
"3004CD0129033","{""$date"":""2020-07-28T07:08:10.814Z""}","08042018",,"05"
"3004CD0129033","{""$date"":""2020-07-28T07:08:10.814Z""}","27032018","17122018","06"
"3004CD0129033","{""$date"":""2020-07-28T07:08:10.814Z""}","31012018","13102018","06"
"3004CD0129033","{""$date"":""2020-07-28T07:08:10.814Z""}","28042017","12112017","06"
"3004CD0129033","{""$date"":""2020-07-28T07:08:10.814Z""}","16102015","20062016","07"
"3004CD0129033","{""$date"":""2020-07-28T07:08:10.814Z""}","28112013","31052014","07"
"3004CD0129033","{""$date"":""2020-07-28T07:08:10.814Z""}","05112012","21112012","07"
"3004CD0129033","{""$date"":""2020-07-28T07:08:10.814Z""}","28092012","28112013","07"
"3004CD0129033","{""$date"":""2020-07-28T07:08:10.814Z""}","27042012","28092012","07"
"3000CD0172043","{""$date"":""2020-07-28T07:08:10.769Z""}",,,
"32619003121","{""$date"":""2020-07-28T07:08:10.433Z""}",,,
"3042CD0081947","{""$date"":""2020-07-28T07:08:08.608Z""}",,,
"43268000906","{""$date"":""2020-07-28T07:08:08.085Z""}",,,
"25889002386","{""$date"":""2020-07-28T07:08:08.019Z""}","03102018","04042019","06"
"25889002386","{""$date"":""2020-07-28T07:08:08.019Z""}","07072017",,"10"
"25889002386","{""$date"":""2020-07-28T07:08:08.019Z""}","30012017",,"06"
"25889002386","{""$date"":""2020-07-28T07:08:08.019Z""}","30092014",,"10"
"25889002386","{""$date"":""2020-07-28T07:08:08.019Z""}",,,
"33044001867","{""$date"":""2020-07-28T07:08:07.872Z""}",,,
"33044001867","{""$date"":""2020-07-28T07:08:07.872Z""}",,,
"33147003207","{""$date"":""2020-07-28T07:08:06.812Z""}","24072019","23102019","07"
"33147003207","{""$date"":""2020-07-28T07:08:06.812Z""}","30072018",,"07"
"33147003207","{""$date"":""2020-07-28T07:08:06.812Z""}","30042017",,"06"
"33147003207","{""$date"":""2020-07-28T07:08:06.812Z""}",,,
"71510000339","{""$date"":""2020-07-28T07:08:06.596Z""}",,,
"3078CD0357327","{""$date"":""2020-07-28T07:08:06.497Z""}",,,
"63332001683","{""$date"":""2020-07-28T07:08:05.788Z""}",,,
"84432000245","{""$date"":""2020-07-28T07:08:04.206Z""}",,,
"3004CD0129025","{""$date"":""2020-07-28T07:08:04.200Z""}",,,
"70831000227","{""$date"":""2020-07-28T07:08:03.867Z""}",,,
"83733000183","{""$date"":""2020-07-28T07:08:03.225Z""}",,,
"54283000883","{""$date"":""2020-07-28T07:08:00.987Z""}",,,
"44404000298","{""$date"":""2020-07-28T07:08:00.372Z""}","30052020",,"07"
"44404000298","{""$date"":""2020-07-28T07:08:00.372Z""}","13112019",,"13"
"44404000298","{""$date"":""2020-07-28T07:08:00.372Z""}","04072019",,"07"
"44404000298","{""$date"":""2020-07-28T07:08:00.372Z""}","27052019",,"07"
"44404000298","{""$date"":""2020-07-28T07:08:00.372Z""}","14092018",,"07"
"44404000298","{""$date"":""2020-07-28T07:08:00.372Z""}","05042017",,"13"
"44404000298","{""$date"":""2020-07-28T07:08:00.372Z""}",,,
"39081000709","{""$date"":""2020-07-28T07:07:59.633Z""}",,,
"52387001278","{""$date"":""2020-07-28T07:07:56.390Z""}",,,
"48332000378","{""$date"":""2020-07-28T07:07:56.290Z""}",,,
"48332000378","{""$date"":""2020-07-28T07:07:56.290Z""}",,,
"73828000281","{""$date"":""2020-07-28T07:07:54.454Z""}",,,
"41905000665","{""$date"":""2020-07-28T07:07:54.417Z""}","06062019","02022020","06"
"41905000665","{""$date"":""2020-07-28T07:07:54.417Z""}",,,
"33232002812","{""$date"":""2020-07-28T07:07:53.276Z""}",,,
"809791420000162","{""$date"":""2020-07-28T07:07:53.186Z""}","11032019",,"05"
"809791420000162","{""$date"":""2020-07-28T07:07:53.186Z""}","29092018","31012019","06"
"809791420000162","{""$date"":""2020-07-28T07:07:53.186Z""}","14082018",,"05"
"809791420000162","{""$date"":""2020-07-28T07:07:53.186Z""}","02072018",,"05"
"809791420000162","{""$date"":""2020-07-28T07:07:53.186Z""}","22022018",,"05"
"809791420000162","{""$date"":""2020-07-28T07:07:53.186Z""}","20022018","06012020","05"
"809791420000162","{""$date"":""2020-07-28T07:07:53.186Z""}",,,
"49303000446","{""$date"":""2020-07-28T07:07:46.903Z""}",,,
"3027CD0146554","{""$date"":""2020-07-28T07:07:46.591Z""}",,,
"77617000602","{""$date"":""2020-07-28T07:07:46.016Z""}",,,
"3078CD0357310","{""$date"":""2020-07-28T07:07:45.478Z""}","12102018",,"13"
"74188000233","{""$date"":""2020-07-28T07:07:45.133Z""}",,,
"65426000368","{""$date"":""2020-07-28T07:07:44.714Z""}",,,
"64934000656","{""$date"":""2020-07-28T07:07:43.875Z""}",,,
"33633001483","{""$date"":""2020-07-28T07:07:42.971Z""}",,,
"3110CD0078308","{""$date"":""2020-07-28T07:07:42.422Z""}",,,
"55324000977","{""$date"":""2020-07-28T07:07:42.021Z""}",,,
"26702000553","{""$date"":""2020-07-28T07:07:38.590Z""}",,,
"63793000585","{""$date"":""2020-07-28T07:07:38.483Z""}",,,
"828801420000235","{""$date"":""2020-07-28T07:07:37.323Z""}","27112019",,"06"
"828801420000235","{""$date"":""2020-07-28T07:07:37.323Z""}",,,
"87170000008","{""$date"":""2020-07-28T07:07:35.422Z""}",,,
"553351420000169","{""$date"":""2020-07-28T07:07:35.415Z""}","30092019",,"06"
"553351420000169","{""$date"":""2020-07-28T07:07:35.415Z""}","08082019",,"06"
"553351420000169","{""$date"":""2020-07-28T07:07:35.415Z""}","16102018",,"06"
"553351420000169","{""$date"":""2020-07-28T07:07:35.415Z""}","14042018","23112018","06"
"553351420000169","{""$date"":""2020-07-28T07:07:35.415Z""}","29092013","31032015","01"
"553351420000169","{""$date"":""2020-07-28T07:07:35.415Z""}","20062013","30082017","17"
"553351420000169","{""$date"":""2020-07-28T07:07:35.415Z""}","20072012","21052015","17"
"553351420000169","{""$date"":""2020-07-28T07:07:35.415Z""}","12082010","14022012","13"
"553351420000169","{""$date"":""2020-07-28T07:07:35.415Z""}",,,
"3001CD0068004","{""$date"":""2020-07-28T07:07:34.666Z""}","15092015",,"06"
"3003CD0109382","{""$date"":""2020-07-28T07:07:30.752Z""}",,,
"3078CD0357317","{""$date"":""2020-07-28T07:07:30.653Z""}",,,
"39096000760","{""$date"":""2020-07-28T07:07:30.187Z""}",,,
"69744000108","{""$date"":""2020-07-28T07:07:27.989Z""}",,,
"73788000429","{""$date"":""2020-07-28T07:07:26.726Z""}",,,
"73969000378","{""$date"":""2020-07-28T07:07:26.486Z""}",,,
"3078CD0357305","{""$date"":""2020-07-28T07:07:23.167Z""}",,,
"38717000027","{""$date"":""2020-07-28T07:07:23.074Z""}",,,
"3029CD0273207","{""$date"":""2020-07-28T07:07:23.055Z""}",,,
"26099000844","{""$date"":""2020-07-28T07:07:21.566Z""}",,,
"3000CD0172045","{""$date"":""2020-07-28T07:07:21.050Z""}",,,
"44674001742","{""$date"":""2020-07-28T07:07:21.005Z""}",,,
"84050000187","{""$date"":""2020-07-28T07:07:20.163Z""}",,,
"29946000378","{""$date"":""2020-07-28T07:07:17.995Z""}",,,
"85161000104","{""$date"":""2020-07-28T07:07:17.175Z""}",,,
"3024CD0103183","{""$date"":""2020-07-28T07:07:14.158Z""}",,,
"3020CD0125033","{""$date"":""2020-07-28T07:07:13.968Z""}",,,
"41242000525","{""$date"":""2020-07-28T07:07:13.735Z""}",,,
"60575000442","{""$date"":""2020-07-28T07:07:13.712Z""}",,,
"77546000058","{""$date"":""2020-07-28T07:07:13.326Z""}",,,
"39910000921","{""$date"":""2020-07-28T07:07:12.678Z""}",,,
"60209000559","{""$date"":""2020-07-28T07:07:09.957Z""}",,,
"629581420000223","{""$date"":""2020-07-28T07:07:09.908Z""}",,,
"629581420000223","{""$date"":""2020-07-28T07:07:09.908Z""}",,,
"3003CD0109381","{""$date"":""2020-07-28T07:07:09.017Z""}",,,
"71244001603","{""$date"":""2020-07-28T07:07:08.852Z""}","12052020",,"13"
"71244001603","{""$date"":""2020-07-28T07:07:08.852Z""}","13112019",,"06"
"71244001603","{""$date"":""2020-07-28T07:07:08.852Z""}",,,
"62714000064","{""$date"":""2020-07-28T07:07:08.402Z""}",,,
"69938001005","{""$date"":""2020-07-28T07:07:07.592Z""}",,,
"3000CD0172046","{""$date"":""2020-07-28T07:07:03.218Z""}","21112019",,"06"
"3000CD0172046","{""$date"":""2020-07-28T07:07:03.218Z""}","04022019",,"06"
"80898000242","{""$date"":""2020-07-28T07:07:02.174Z""}",,,
"3018CD0149507","{""$date"":""2020-07-28T07:07:02.147Z""}",,,
"871541420000058","{""$date"":""2020-07-28T07:07:01.441Z""}",,,
"871541420000058","{""$date"":""2020-07-28T07:07:01.441Z""}",,,
"3025CD0170521","{""$date"":""2020-07-28T07:06:59.828Z""}",,,
"3008CD0034266","{""$date"":""2020-07-28T07:06:56.960Z""}","18122017","30072018","13"
"3008CD0034266","{""$date"":""2020-07-28T07:06:56.960Z""}","05122019",,"06"
"3008CD0034266","{""$date"":""2020-07-28T07:06:56.960Z""}","13062018","13062020","13"
"3008CD0034266","{""$date"":""2020-07-28T07:06:56.960Z""}","27022018","14122018","07"
"3008CD0034266","{""$date"":""2020-07-28T07:06:56.960Z""}","24032016","18122017","13"
"41689001858","{""$date"":""2020-07-28T07:06:52.900Z""}",,,
"3006CD0076113","{""$date"":""2020-07-28T07:06:52.872Z""}",,,
"74253000227","{""$date"":""2020-07-28T07:06:51.649Z""}",,,
"28302003471","{""$date"":""2020-07-28T07:06:51.623Z""}",,,
"59688000596","{""$date"":""2020-07-28T07:06:50.722Z""}",,,
"63994000142","{""$date"":""2020-07-28T07:06:50.411Z""}","23102019",,"05"
"63994000142","{""$date"":""2020-07-28T07:06:50.411Z""}","16102019",,"05"
"63994000142","{""$date"":""2020-07-28T07:06:50.411Z""}","12102019","10042020","05"
"63994000142","{""$date"":""2020-07-28T07:06:50.411Z""}","10102019","10042020","05"
"63994000142","{""$date"":""2020-07-28T07:06:50.411Z""}","30062019","10012020","06"
"63994000142","{""$date"":""2020-07-28T07:06:50.411Z""}","29122018","10072019","06"
"63994000142","{""$date"":""2020-07-28T07:06:50.411Z""}",,,
"47235001058","{""$date"":""2020-07-28T07:06:45.524Z""}",,,
"87095000020","{""$date"":""2020-07-28T07:06:44.516Z""}","24122018",,"51"
"87095000020","{""$date"":""2020-07-28T07:06:44.516Z""}","30042020",,"05"
"87095000020","{""$date"":""2020-07-28T07:06:44.516Z""}","14082019",,"07"
"87095000020","{""$date"":""2020-07-28T07:06:44.516Z""}",,,
"84763000086","{""$date"":""2020-07-28T07:06:43.170Z""}",,,
"69079000043","{""$date"":""2020-07-28T07:06:42.525Z""}",,,
"57923000012","{""$date"":""2020-07-28T07:06:42.490Z""}",,,
"45543000697","{""$date"":""2020-07-28T07:06:41.458Z""}",,,
"35927000128","{""$date"":""2020-07-28T07:06:41.084Z""}",,,
"84432000244","{""$date"":""2020-07-28T07:06:41.046Z""}",,,
"3009CD0173071","{""$date"":""2020-07-28T07:06:40.744Z""}","30112016",,"12"
"3009CD0173071","{""$date"":""2020-07-28T07:06:40.744Z""}","29112016",,"12"
"3009CD0173071","{""$date"":""2020-07-28T07:06:40.744Z""}","29022020",,"13"
"48931000970","{""$date"":""2020-07-28T07:06:39.236Z""}",,,
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","16092019","11052020","06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","11092019",,"01"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","26082019",,"06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","24062019","07052020","06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","31052019","05012020","06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","30112018","12092019","06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","14082018","26072019","10"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","07082018","23092019","06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","30062018","12012019","06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","14042018","10012019","00"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","14042018","10012019","06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","12042018","10012019","06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","10112017","17122018","06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","14092017","17042018","06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","23112016","24062017","06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","09032016","10092016","06"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}","29102012","08112013","13"
"75597000262","{""$date"":""2020-07-28T07:06:38.479Z""}",,,
"72590000098","{""$date"":""2020-07-28T07:06:37.325Z""}",,,
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","23062020",,"07"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","29052020",,"53"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","19072019","23062020","07"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","04062019","29052020","53"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","19072018","19072019","07"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","06062018","04062019","53"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","14112017",,"02"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","19072017","19072018","07"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","13062017","06062018","53"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","30012017","20092017","07"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","19082016","14032017","07"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","05052016","19072017","07"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","07052015","05052016","59"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","29092014","25092015","59"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","17092014","18072017","02"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","08052014","07052015","53"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","05052014","06052015","53"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","10052013","08052014","53"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","03012013","05052014","53"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","03012013","18032014","53"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}","22122011","03012013","53"
"46101001756","{""$date"":""2020-07-28T07:06:36.949Z""}",,,
"61039000211","{""$date"":""2020-07-28T07:06:31.443Z""}",,,
"3061CD0134441","{""$date"":""2020-07-28T07:06:31.120Z""}","19052020",,"07"
"3061CD0134441","{""$date"":""2020-07-28T07:06:31.120Z""}","06032020",,"07"
"3061CD0134441","{""$date"":""2020-07-28T07:06:31.120Z""}","19022020","14052020","07"
"3061CD0134441","{""$date"":""2020-07-28T07:06:31.120Z""}","06022020",,"13"
"3061CD0134441","{""$date"":""2020-07-28T07:06:31.120Z""}","27052019",,"07"
"3061CD0134441","{""$date"":""2020-07-28T07:06:31.120Z""}","31072018","16022019","06"
"3061CD0134441","{""$date"":""2020-07-28T07:06:31.120Z""}","30062018",,"06"
"3061CD0134441","{""$date"":""2020-07-28T07:06:31.120Z""}","23032018",,"06"
"3061CD0134441","{""$date"":""2020-07-28T07:06:31.120Z""}","11102014",,"12"
"77152000095","{""$date"":""2020-07-28T07:06:31.011Z""}",,,
"36548000069","{""$date"":""2020-07-28T07:06:30.775Z""}",,,
"54375000785","{""$date"":""2020-07-28T07:06:28.682Z""}",,,
"766491420000042","{""$date"":""2020-07-28T07:06:28.336Z""}",,,
"766491420000042","{""$date"":""2020-07-28T07:06:28.336Z""}",,,
"51458000312","{""$date"":""2020-07-28T07:06:27.088Z""}",,,
"3021CD0119291","{""$date"":""2020-07-28T07:06:26.565Z""}",,,
"25313011263","{""$date"":""2020-07-28T07:06:26.479Z""}","07032018",,"17"
"25313011263","{""$date"":""2020-07-28T07:06:26.479Z""}","18032017",,"13"
"25313011263","{""$date"":""2020-07-28T07:06:26.479Z""}","24012019",,"17"
