,mo_diff_ld_drc,intPayHistComp
59,32,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,49,"[0, -1, -1, 0, -1, -1, 0, -1, -1, -1]"
61,74,"[0, 0, -1, -1, 0, 0, 0, -1, -1, -1]"
62,92,"[-1, -1, -1, -1]"
63,80,"[0, 33, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
64,94,"[0, 0, 0, 0, 0, 0, -1, -1, -1]"
65,-1,"[-1, -1, -1, -1, -1]"
66,15,"[0, 0, 0, -1, 0, 0, 0, -1, -1, -1]"
67,1,"[0, 0, 33, 0, 3, 0, 0, 0, 3, 3, 0, -1, 33, 3, -1, 3, -1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, -1, 3, 3, 3, 0, 3, 0]"
68,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,2,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,-1,"[-1, -1, -1, -1, -1]"
71,9,"[-1, -1, -1, -1, -1, -1, -1]"
72,13,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
73,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 25, 24, 0, 0, 0, 0]"
74,2,"[-1, -1, -1, -1]"
75,2,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
76,3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
77,3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
78,18,"[-1, -1, -1, -1, -1, -1, -1, -1]"
79,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,-1,"[-1, -1, -1, -1, -1]"
81,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
82,2,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
83,18,"[0, 0, 0, 0, 0, -1, -1, -1]"
84,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
85,2,"[0, 0, 0, 0, 0, 0, 29, 0, -1, -1, -1]"
86,2,"[0, 0, 0, 4, 6, 6, 10, 5, -1, -1, -1]"
87,6,"[0, 15, 13, 42, -1, -1, -1]"
88,2,"[181, 150, 120, 89, 90, 59, 28, 29, 28, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,1,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
90,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
91,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
92,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0]"
93,20,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
94,64,"[0, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
95,35,"[0, 0, 0, 101, 71, 68, 69, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]"
96,62,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
97,101,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
98,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99,-1,"[-1, -1, -1, -1, -1]"
100,-1,"[-1, -1, -1, -1, -1]"
101,-1,"[-1, -1, -1, -1, -1]"
102,-1,"[-1, -1, -1, -1, -1]"
103,2,"[0, -1, -1, -1]"
104,2,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
105,2,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
106,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
107,-1,"[-1, -1, -1, -1, -1]"
108,-1,"[-1, -1, -1, -1, -1]"
109,24,"[63, 33, 2, 145, 115, 84, 54, 23, 0, 0, -1, -1, -1]"
110,1,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
111,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0]"
112,19,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
113,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
114,2,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
115,8,"[0, 0, -1, -1, -1]"
116,3,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
117,3,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
118,6,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
119,12,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
120,5,"[26, 26, 56, -1, 26, -1, -1, -1]"
121,2,"[0, 0, -1, -1, -1]"
122,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
123,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
124,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
125,2,"[0, 0, 0, 0, -1, -1, -1]"
126,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
127,8,"[0, 0, 0, -1, -1, -1]"
128,1,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
129,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
130,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
131,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
132,12,"[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
133,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
134,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
135,18,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
136,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
137,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
138,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
139,27,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0]"
140,37,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0]"
141,46,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0]"
142,80,"[0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
143,1,"[-1, -1, -1, -1]"
144,1,"[0, 0, -1, -1, -1]"
145,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
146,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
147,12,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
148,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
149,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 28, -1, 31, 30, 0, 0, 1, 0, -1, 0, 0, 0, 0, -1, -1, -1]"
150,24,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
151,25,"[0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
152,34,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
153,40,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
154,36,"[-1, 89, 59, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
155,50,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
156,58,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
157,36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
158,62,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
159,62,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
160,74,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
161,74,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
162,76,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
163,90,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
164,1,"[0, 0, -1, -1, -1]"
165,1,"[0, 0, 0, 0, -1, -1, -1]"
166,2,"[0, 0, 0, 0, -1, -1, -1]"
167,1,"[0, 0, 0, 0, 0, -1, -1, -1]"
168,8,"[0, 0, 0, 0, 0, -1, 0, -1, -1, -1]"
169,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
170,1,"[0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0]"
171,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
172,30,"[-1, -1, -1, -1]"
173,-1,"[-1, -1, -1, -1, -1]"
174,2,"[84, 84, 84, 84, 85, 54, 84, 54, 85, 55, 25, -1, 55, 24, 25, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
175,2,"[73, 72, 42, 73, 44, 13, 12, -1, 43, 44, 75, 44, 44, 44, 14, -1, -1, 14, 13, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
176,2,"[9, 9, 9, 9, 30, 133, 102, 103, 72, 72, 41, 41, 11, 0, 0, 0, 0, -1, -1, -1]"
177,2,"[-1, -1, -1, -1]"
178,2,"[-1, -1, -1, -1]"
179,2,"[-1, -1, -1, -1]"
180,2,"[-1, -1, -1, -1, -1, -1]"
181,2,"[-1, -1, -1, -1, -1, -1]"
182,2,"[-1, -1, -1, -1, -1, -1]"
183,1,"[0, 0, 0, 0, -1, -1, -1]"
184,2,"[-1, -1, -1, -1, -1, -1]"
185,1,"[0, 0, 0, 0, -1, -1, -1]"
186,2,"[-1, -1, -1, -1, -1, -1]"
187,2,"[-1, -1, -1, -1, -1, -1]"
188,2,"[0, 0, 0, 0, 0, -1, -1, -1]"
189,4,"[0, 0, 0, -1, -1, -1]"
190,10,"[-1, -1, -1, -1, -1, -1, -1]"
191,4,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
192,2,"[-1, -1, -1, -1, 58, 57, 87, 57, 26, -1, 58, 27, -1, -1, -1, -1, -1, -1]"
193,7,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
194,5,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
195,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
196,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
197,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
198,18,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
199,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
200,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
201,16,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
202,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
203,21,"[0, 0, 0, 0, -1, -1, -1]"
204,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
205,18,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
206,27,"[-1, -1, -1, -1, -1, -1, -1]"
207,17,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
208,17,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
209,18,"[0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
210,32,"[-1, -1, -1, -1]"
211,31,"[-1, -1, -1, -1, -1, -1]"
212,31,"[-1, -1, -1, -1, -1, -1]"
213,23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
214,33,"[-1, -1, -1, -1, -1]"
215,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
216,34,"[-1, -1, -1, -1, -1]"
217,24,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
218,24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
219,33,"[-1, -1, -1, -1, -1, -1, -1, -1]"
220,34,"[-1, -1, -1, -1, -1, -1, -1]"
221,31,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
222,31,"[0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
223,35,"[-1, -1, -1, -1, -1, -1, -1, -1, -1]"
224,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
225,8,"[-1, 80, 80, 50, 20, -1, 50, 19, 20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
226,38,"[0, -1, -1, -1, -1, -1, -1]"
227,33,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
228,33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
229,35,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
230,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
231,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
232,35,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
233,33,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
234,20,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
235,43,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
236,39,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
237,39,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
238,43,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
239,48,"[-1, -1, -1, -1, -1]"
240,47,"[0, -1, -1, -1, -1, -1]"
241,38,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
242,42,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
243,50,"[0, -1, -1, -1, -1, -1, -1, -1]"
244,55,"[-1, -1, -1, -1, -1]"
245,52,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
246,11,"[-1, 32, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
247,58,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
248,58,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
249,208,"[-1, -1, -1, -1]"
250,2,"[88, 66, 18, -1, -1, -1]"
251,1,"[0, 0, 0, 0, 0, -1, -1, -1]"
252,5,"[0, 0, -1, -1, -1]"
253,6,"[0, -1, -1, -1]"
254,5,"[0, 0, -1, -1, -1]"
255,7,"[0, -1, -1, -1]"
256,7,"[0, 0, 0, -1, -1, -1]"
257,9,"[0, 0, -1, -1, -1]"
258,10,"[0, -1, -1, -1]"
259,12,"[0, -1, -1, -1]"
260,12,"[0, 0, -1, -1, -1]"
261,14,"[0, -1, -1, -1]"
262,1,"[0, -1, -1, -1]"
263,1,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
264,-1,"[-1, -1, -1, -1, -1]"
265,3,"[0, 0, -1, -1, -1]"
266,3,"[0, 0, 0, 0, -1, -1, -1]"
267,1,"[-1, -1, -1, -1, -1, -1]"
268,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
269,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
270,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
271,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
272,23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
